>> Cooler Stacker - AMD FX-8150;595;Компьютеры;AMD FX-8150 ( 8 x 3600 МГц ) ~ DDR3 8 Гб ~ HDD 1500 Гб ~ DVD-RW ~ GeForce GT 640 2 Гб ~ STC Delux 7851BR - 550 Вт ~ Win 7;24;На складе
>> Cooler Silencio - AMD FX-8150;630;Компьютеры;AMD FX-8150 ( 8 x 3600 МГц ) ~ DDR3 8 Гб ~ HDD 1000 Гб ~ DVD-RW ~ GeForce GTX 560 1 Гб ~ Classic ATX - 550 Вт ~ Win 7;24;На складе
>> Cooler Qdion - AMD FX-4100;635;Компьютеры;AMD FX-4100 ( 4 x 3600 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 560 2 Гб ~ Classic ATX - 550 Вт ~ Win 7;24;На складе
>> Cooler Quattro - Athlon X4 641;600;Компьютеры;Athlon X4 641 ( 4 x 2800 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 560Ti 1 Гб ~ Classic ATX - 550 Вт ~ Win 7;24;На складе
>> Cooler Aurum - AMD A8-3850;625;Компьютеры;AMD A8-3850 ( 4 x 2900 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 560 2 Гб ~ Classic ATX - 550 Вт ~ Win 7;24;На складе
>> Cooler Platinum - AMD A8-3870K;645;Компьютеры;AMD A8-3870K ( 4 x 3300 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 560Ti 1 Гб ~ Classic ATX - 550 Вт ~ Win 7;24;На складе
>> Cooler Argentum - AMD Phenom X4 955;620;Компьютеры;AMD Phenom X4 955 ( 4 x 3200 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 560 2 Гб ~ Classic ATX - 550 Вт ~ Win 7;24;На складе
>> Cooler Standart - AMD FX-6100;665;Компьютеры;AMD FX-6100 ( 6 x 3300 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 560Ti 2 Гб ~ Classic ATX - 550 Вт ~ Win 7;24;На складе
>> Cooler Element - AMD FX-6200;730;Компьютеры;AMD FX-6200 ( 6 x 3800 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 560Ti 2 Гб ~ Classic ATX - 550 Вт ~ Win 7;24;На складе
>> Cooler X-Fighter - AMD FX-8120;925;Компьютеры;AMD FX-8120 ( 8 x 3100 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 670 2 Гб ~ Classic ATX - 600 Вт ~ Win 7;24;На складе
>> Cooler Z-MACHINE - AMD FX-8150;940;Компьютеры;AMD FX-8150 ( 8 x 3600 МГц ) ~ DDR3 8 Гб ~ HDD 1500 Гб ~ DVD-RW ~ GeForce GTX 670 2 Гб ~ Classic ATX - 600 Вт ~ Win 7;24;На складе
>> Cooler Офис-старт - Intel Celeron G460;215;Компьютеры;Intel Celeron G460 ( 1 x 1800 МГц ) ~ DDR3 2 Гб ~ HDD 500 Гб ~ Delux DLC-MV875 - 400 Вт ~ Win 7;24;На складе
>> Cooler Офис-старт + - Intel Celeron G460;233;Компьютеры;Intel Celeron G460 ( 1 x 1800 МГц ) ~ DDR3 2 Гб ~ HDD 500 Гб ~ DVD-RW ~ Delux DLC-MV875 - 400 Вт ~ Win 7;24;На складе
>> Cooler Internet serfing - Intel Pentium G630;262;Компьютеры;Intel Pentium G630 ( 2 x 2700 МГц ) ~ DDR3 2 Гб ~ HDD 500 Гб ~ DVD-RW ~ Delux DLC-MV871 - 450 Вт ~ Win 7;24;На складе
>> Cooler Бизнес-профи - Athlon X2 260;265;Компьютеры;Athlon X2 260 ( 2 x 3200 МГц ) ~ DDR3 4 Гб ~ HDD 500 Гб ~ DVD-RW ~ GeForce 7025  ~ Delux DLC-MV871 - 450 Вт ~ Win 7;24;На складе
>> Cooler Hybrid - Intel Pentium G840;377;Компьютеры;Intel Pentium G840 ( 2 x 2800 МГц ) ~ DDR3 4 Гб ~ HDD 1000 Гб ~ DVD-RW ~ GeForce GT620 2 Гб ~ Delux DLC-MV871 - 450 Вт ~ Win 7;24;На складе
>> Cooler Magnum - Athlon X2 270;365;Компьютеры;Athlon X2 270 ( 2 x 3400 МГц ) ~ DDR3 4 Гб ~ HDD 1000 Гб ~ DVD-RW ~ GeForce GT620 2 Гб ~ Delux DLC-MV871 - 450 Вт ~ Win 7;24;На складе
>> Cooler Evolution ARC - Athlon X3 460 ;367;Компьютеры;Athlon X3 460 ( 3 x 3400 МГц ) ~ DDR3 4 Гб ~ HDD 1000 Гб ~ DVD-RW ~ GeForce GT630 1 Гб ~ Delux DLC-MV871 - 450 Вт ~ Win 7;24;На складе
>> Cooler Evolution I - Athlon X4 631;479;Компьютеры;Athlon X4 631 ( 4 x 2600 МГц ) ~ DDR3 8 Гб ~ HDD 1000 Гб ~ DVD-RW ~ GeForce GT640 1 Гб ~ Classic ATX - 500 Вт ~ Win 7;24;На складе
>> Cooler Evolution II - Athlon X4 641;494;Компьютеры;Athlon X4 641 ( 4 x 2800 МГц ) ~ DDR3 8 Гб ~ HDD 1000 Гб ~ DVD-RW ~ GeForce GTX 650 1 Гб ~ Classic ATX - 500 Вт ~ Win 7;24;На складе
>> Cooler Evolution III - Athlon X4 651;560;Компьютеры;Athlon X4 651 ( 4 x 3000 МГц ) ~ DDR3 8 Гб ~ HDD 1000 Гб ~ DVD-RW ~ GeForce GTX 560 1 Гб ~ Classic ATX - 500 Вт ~ Win 7;24;На складе
>> Cooler Storm - AMD FX-4100;635;Компьютеры;AMD FX-4100 ( 4 x 3600 МГц ) ~ DDR3 8 Гб ~ HDD 1500 Гб ~ DVD-RW ~ GeForce GTX 560 2 Гб ~ Classic ATX - 500 Вт ~ Win 7;24;На складе
>> Cooler Storm Enforcer - AMD FX-6100;683;Компьютеры;AMD FX-6100 ( 6 x 3300 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 560Ti 1 Гб ~ Classic ATX - 500 Вт ~ Win 7;24;На складе
>> Cooler Storm Scout - AMD FX-6200;710;Компьютеры;AMD FX-6200 ( 6 x 3800 МГц ) ~ DDR3 8 Гб ~ HDD 1500 Гб ~ DVD-RW ~ GeForce GTX 560Ti 1 Гб ~ Classic ATX - 500 Вт ~ Win 7;24;На складе
>> Cooler Storm Sniper - AMD FX-8120;775;Компьютеры;AMD FX-8120 ( 8 x 3100 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX 650Ti 1 Гб ~ Classic ATX - 500 Вт ~ Win 7;24;На складе
>> Cooler Quad Trooper - Intel Core i5 2320;819;Компьютеры;Intel Core i5 2320 ( 4 x 3000 МГц ) ~ DDR3 8 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX560Ti 2 Гб ~ NaviPower 910 CyborgX - 600 Вт ~ Win 7;24;На складе
>> Cooler Gladiator - Intel Core i5 3550;1075;Компьютеры;Intel Core i5 3550 ( 4 x 3300 МГц ) ~ DDR3 16 Гб ~ HDD 2000 Гб ~ DVD-RW ~ GeForce GTX580 1.5 Гб ~ Classic ATX - 600 Вт ~ Win 7;24;На складе
>> Cooler Agressor - Intel Core i7-3770;1590;Компьютеры;Intel Core i7-3770 ( 4 x 3500 МГц ) ~ DDR3 16 Гб ~ HDD 3000 Гб ~ DVD-RW ~ GeForce GTX680 2 Гб ~ NaviPower 902 Achilles - 600 Вт ~ Win 7;24;На складе
